Country	Year	Life Ladder	Log GDP per capita	Social support	Healthy life expectancy at birth	Freedom to make life choices	Generosity	Perceptions of corruption	Positive affect	CODE	Happiness score	Whisker-high	Whisker-low	Dystopia (1.88) + residual	Explained by: GDP per capita	Explained by: Social support	Explained by: Healthy life expectancy	Explained by: Freedom to make life choices	Explained by: Generosity	Explained by: Perceptions of corruption
Japan	2018	5.793575287	10.58161831	0.8864319324	75	0.7734721303	-0.2729722857	0.6867845058	0.7033550143	JPN	5.886	5.970	5.802	1.399	1.327	1.419	1.088	0.445	0.069	0.140
Jordan	2018	4.638933659	9.024435043	0.7995443344	66.80000305	0.7624202967	-0.1834896952			JOR	4.906	5.019	4.792	1.406	0.837	1.225	0.815	0.383	0.110	0.130
Kazakhstan	2018	6.00763607	10.111166	0.9366567135	64.59999847	0.84018296	-0.1085953116	0.8237829804	0.6931987405	KAZ	5.809	5.890	5.727	1.746	1.173	1.508	0.729	0.410	0.146	0.096
Kenya	2018	4.655702591	8.03267765	0.7067198753	60.09999847	0.8214129806	0.3066530824	0.8442440629	0.759102881	KEN	4.509	4.626	4.391	1.576	0.512	0.983	0.581	0.431	0.372	0.053
Kosovo	2018	6.391825676		0.8224065304	65.14982605	0.88973701		0.9220781922	0.7782713175	KSV	6.100	6.199	6.001	2.469	0.882	1.232	0.758	0.489	0.262	0.006
Kuwait										KWT	6.021	6.148	5.893	1.661	1.500	1.319	0.808	0.493	0.142	0.097
Kyrgyzstan	2018	5.297383308	8.151305199	0.8981478214	64.09999847	0.94494766	0.2877319753	0.9074053168	0.7632705569	KGZ	5.261	5.348	5.173	1.719	0.551	1.438	0.723	0.508	0.300	0.023
Laos	2018	4.85940218	8.813603401	0.7047381401	58.70000076	0.906660974	0.1405994594	0.6342398524	0.8522135615	LAO	4.796	4.881	4.711	1.473	0.764	1.030	0.551	0.547	0.266	0.164
Latvia	2018	5.901154041	10.18411732	0.9132763147	66.80000305	0.608207643	-0.2169995308	0.7989492416	0.5852332711	LVA	5.940	6.011	5.869	2.073	1.187	1.465	0.812	0.264	0.075	0.064
Lebanon	2018	5.167186737	9.507958412	0.8293806314	67.09999847	0.6070306897	-0.06632593274	0.9066503048	0.4638807774	LBN	5.197	5.284	5.110	1.762	0.987	1.224	0.815	0.216	0.166	0.027
Lesotho										LSO	3.802	3.963	3.641	1.417	0.489	1.169	0.168	0.359	0.107	0.093
Liberia	2018	4.134852886	6.630169868	0.7267501354	56.09999847	0.7657695413	0.09600263089	0.8679240942	0.6597315669	LBR	3.975	4.115	3.836	1.902	0.073	0.922	0.443	0.370	0.233	0.033
Libya	2018	5.493977547		0.8241651654	62.29999924	0.7805585265		0.6458387971	0.7055354118	LBY	5.525	5.646	5.404	1.804	1.044	1.303	0.673	0.416	0.133	0.152
Lithuania	2018	6.308878899	10.33951187	0.9293501377	67.30000305	0.6989451051	-0.2409785539	0.851745069	0.5168051124	LTU	6.149	6.236	6.062	2.202	1.238	1.515	0.818	0.291	0.043	0.042
Luxembourg	2018	7.242630959	11.45392799	0.9021924138	72.59999847	0.8839298487	-0.02549606189	0.3851461112	0.7503094673	LUX	7.090	7.152	7.028	1.954	1.609	1.479	1.012	0.526	0.194	0.316
Macedonia	2018	5.239834785	9.503044128	0.8489151597	67.5	0.7448009253	-0.04029086977	0.9099343419	0.5901380777	MKD	5.274	5.365	5.182	1.595	0.983	1.294	0.838	0.345	0.185	0.034
Madagascar	2018	4.070586681	7.279894829	0.665512979	59.09999847	0.5514730811	0.005692420062	0.8891456723	0.752341032	MDG	3.933	4.033	3.833	1.831	0.274	0.916	0.555	0.148	0.169	0.041
Malawi	2018	3.334633589	7.005932331	0.5278434753	57.59999847	0.7989151478	0.06506087631	0.7659637928	0.5863004327	MWI	3.410	3.525	3.294	1.413	0.191	0.560	0.495	0.443	0.218	0.089
Malaysia	2018	5.338817596	10.23550415	0.7894085646	67	0.8745482564	0.112881355	0.894131124	0.8244546652	MYS	5.339	5.461	5.216	1.326	1.221	1.171	0.828	0.508	0.260	0.024
Mali	2018	4.415729523	7.627428055	0.6918590665	51.70000076	0.7372045517	-0.03188855574	0.7930914164	0.7700172663	MLI	4.390	4.498	4.283	2.061	0.385	1.105	0.308	0.327	0.153	0.052
Malta	2018	6.909710884		0.9315415025	72.19999695	0.9273406863		0.595199883	0.7212244272	MLT	6.726	6.810	6.642	1.816	1.300	1.520	0.999	0.564	0.375	0.151
Mauritania	2018	4.313615322	8.196549416	0.8015955091	57	0.4668885469	-0.09545145184	0.7105292678	0.6633824706	MRT	4.490	4.591	4.389	2.005	0.570	1.167	0.489	0.066	0.106	0.088
