Country	Year	Life Ladder	Log GDP per capita	Social support	Healthy life expectancy at birth	Freedom to make life choices	Generosity	Perceptions of corruption	Positive affect	CODE	Happiness score	Whisker-high	Whisker-low	Dystopia (1.88) + residual	Explained by: GDP per capita	Explained by: Social support	Explained by: Healthy life expectancy	Explained by: Freedom to make life choices	Explained by: Generosity	Explained by: Perceptions of corruption
Serbia	2018	5.936493397	9.584803581	0.8529453278	68.19999695	0.7398918271	-0.09851144999	0.8637235761	0.5589408278	SRB	5.603	5.705	5.501	1.904	1.004	1.383	0.854	0.282	0.137	0.039
Sierra Leone	2018	4.305683136	7.26616621	0.6496383548	50.79999924	0.7164844871	0.1015807018	0.8557332158	0.5516280532	SLE	4.374	4.510	4.238	2.416	0.268	0.841	0.242	0.309	0.252	0.045
Singapore	2018	6.374564171		0.9028406739	76.80000305	0.9160782099		0.09656292945	0.7870929837	SGP	6.262	6.324	6.200	0.807	1.572	1.463	1.141	0.556	0.271	0.453
Slovakia	2018	6.23511076	10.35223579	0.9223787189	68.90000153	0.7576340437	-0.1796924621	0.9099446535	0.7541052103	SVK	6.198	6.275	6.120	2.097	1.246	1.504	0.881	0.334	0.121	0.014
Slovenia	2018	6.249419212	10.39720345	0.9409711957	71.09999847	0.9420458674	-0.1223964095	0.8392525315	0.643971622	SVN	6.118	6.209	6.026	1.618	1.258	1.523	0.953	0.564	0.144	0.057
Somalia										SOM	4.668	4.811	4.525	2.629	0.000	0.698	0.268	0.559	0.243	0.270
South Africa	2018	4.8839221	9.411724091	0.8413439989	56.5	0.7527313232	-0.05903366208	0.8411926031	0.8121665716	ZAF	4.722	4.838	4.607	1.369	0.960	1.351	0.469	0.389	0.130	0.055
South Korea	2018	5.840231419	10.51157761	0.7977238297	73.59999847	0.6001616716	-0.09396584332	0.7968258858	0.66120857	KOR	5.895	5.984	5.805	1.949	1.301	1.219	1.036	0.159	0.175	0.056
South Sudan										SSD	2.853	3.005	2.701	1.374	0.306	0.575	0.295	0.010	0.202	0.091
Spain	2018	6.513370991	10.46559429	0.9103146791	74.40000153	0.7222507	-0.07935059816	0.776504457	0.6591880322	ESP	6.354	6.432	6.276	1.929	1.286	1.484	1.062	0.362	0.153	0.079
Sri Lanka	2018	4.400223255	9.400387764	0.8280653954	67.19999695	0.8526281714	0.08676241338	0.8580166698	0.8312929869	LKA	4.366	4.490	4.242	0.559	0.949	1.265	0.831	0.470	0.244	0.047
Swaziland	2018	4.211565018	8.946770668	0.7792697549		0.7099736929	-0.1799377203	0.6923411489	0.8243547082	SWZ	4.212	4.392	4.031	1.730	0.811	1.149	0.000	0.313	0.074	0.135
Sweden	2018	7.374792099	10.76693249	0.9306795597	72.59999847	0.941724658	0.06957325339	0.2627965808	0.822675705	SWE	7.343	7.416	7.270	2.246	1.387	1.487	1.009	0.574	0.267	0.373
Switzerland	2018	7.508586884	10.97594547	0.930290997	74.09999847	0.9264145494	0.09636896104	0.3012599647	0.7922259569	CHE	7.480	7.553	7.408	2.272	1.452	1.526	1.052	0.572	0.263	0.343
Syria										SYR	3.462	3.664	3.260	1.541	0.619	0.378	0.440	0.013	0.331	0.141
Taiwan Province of China	2018	6.467004776		0.896458745		0.7410327792		0.7359707355	0.8483985662	TWN	6.446	6.528	6.365	2.045	1.368	1.430	0.914	0.351	0.242	0.097
Tajikistan										TJK	5.467	5.568	5.366	2.397	0.493	1.098	0.718	0.389	0.230	0.144
Tanzania	2018	3.445023298	7.928911209	0.6753304005	57.5	0.8071421385	0.1417565197	0.611534059	0.7620893121	TZA	3.231	3.347	3.114	0.531	0.476	0.885	0.499	0.417	0.276	0.147
Thailand	2018	6.011561871	9.734828949	0.8730524182	67.19999695	0.9048282504	0.2516502142	0.906596005	0.8434894085	THA	6.008	6.103	5.913	1.777	1.050	1.409	0.828	0.557	0.359	0.028
Togo	2018	4.022894859	7.287405491	0.5963538885	54.70000076	0.6119662523	-0.007062926423	0.8085377216	0.6084486246	TGO	4.085	4.197	3.972	2.273	0.275	0.572	0.410	0.293	0.177	0.085
Trinidad and Tobago										TTO	6.192	6.416	5.968	2.081	1.231	1.477	0.713	0.489	0.185	0.016
Tunisia	2018	4.741132259	9.304473877	0.7329535484	66.90000153	0.649680078	-0.2032489032	0.8401166201	0.5917266011	TUN	4.461	4.548	4.373	1.444	0.921	1.000	0.815	0.167	0.059	0.055
Turkey	2018	5.185689449	10.1489172	0.8470273018	66.80000305	0.5286290646	-0.1816537231	0.8048785329	0.4346542954	TUR	5.373	5.466	5.280	1.636	1.183	1.360	0.808	0.195	0.083	0.106
Turkmenistan	2018	4.620601654	9.749464035	0.9844889641	62.20000076	0.8577740788	0.2372798026		0.6122102737	TKM	5.247	5.302	5.191	1.334	1.052	1.538	0.657	0.394	0.244	0.028
Uganda	2018	4.321714878	7.45870924	0.7398410439	55.70000076	0.728512764	0.08824136853	0.8561062217	0.6851685047	UGA	4.189	4.319	4.060	1.677	0.332	1.069	0.443	0.356	0.252	0.060
Ukraine	2018	4.661909103	9.012026787	0.9009367228	64.59999847	0.6630550623	-0.05504196137	0.9429607391	0.6087710857	UKR	4.332	4.430	4.235	1.008	0.820	1.390	0.739	0.178	0.187	0.010
United Arab Emirates	2018	6.603743553	11.12767792	0.851041317	67.09999847	0.943664372	0.03649422526		0.7872434855	ARE	6.825	6.901	6.748	2.145	1.503	1.310	0.825	0.598	0.262	0.182
United Kingdom	2018	7.233445168	10.59694767	0.9284839034	72.30000305	0.8375083804	0.2219981402	0.4042760134	0.7831718326	GBR	7.054	7.126	6.982	2.112	1.333	1.538	0.996	0.450	0.348	0.278
United States	2018	6.882684708	10.92246532	0.903856039	68.30000305	0.824606657	0.1077133864	0.7099282742	0.8153825998	USA	6.892	6.986	6.798	2.266	1.433	1.457	0.874	0.454	0.280	0.128
Uruguay	2018	6.371714592	9.959661484	0.9173156023	69	0.876210928	-0.1084514186	0.6829160452	0.8769203424	URY	6.293	6.388	6.198	2.014	1.124	1.465	0.891	0.523	0.127	0.150
Uzbekistan	2018	6.205460072	8.773365021	0.9208210111	65.09999847	0.9698979855	0.311694622	0.5203601122	0.8254215717	UZB	6.174	6.279	6.069	1.951	0.745	1.529	0.756	0.631	0.322	0.240
Venezuela	2018	5.005663395	9.270280838	0.8868820667	66.5	0.6108552217	-0.176155597	0.8275600076	0.7592214942	VEN	4.707	4.835	4.579	1.250	0.960	1.427	0.805	0.154	0.064	0.047
Vietnam	2018	5.295547009	8.783415794	0.8319452405	67.90000153	0.9092597961	-0.03912370279	0.8084229827	0.6922224164	VNM	5.175	5.247	5.103	1.474	0.741	1.346	0.851	0.543	0.147	0.073
Yemen	2018	3.057513952		0.789421916	56.70000076	0.55272609		0.792586863	0.4611137807	YEM	3.380	3.479	3.281	1.139	0.287	1.163	0.463	0.143	0.108	0.077
Zambia	2018	4.041488171	8.223958015	0.7177203894	55.29999924	0.7906259298	0.03664433956	0.8107312918	0.7026975751	ZMB	4.107	4.232	3.981	1.280	0.578	1.058	0.426	0.431	0.247	0.087
Zimbabwe	2018	3.616479874	7.553394794	0.7753884792	55.59999847	0.7626748681	-0.03838358074	0.8442086577	0.7101186514	ZWE	3.663	3.780	3.546	1.149	0.366	1.114	0.433	0.361	0.151	0.089
